ID,TEMP,HUM_AIRE,HUM_SUELO_1,HUM_SUELO_2,LUZ,GAS,RIEGO_1,RIEGO_2
1,28,65,45,50,500,120,0,1
2,28,65,45,50,500,120,0,1
3,28,65,45,50,500,120,0,1
4,28,65,45,50,500,120,0,1
5,28,65,45,50,500,120,0,1
6,28,65,45,50,500,120,0,1
7,28,65,45,50,500,120,0,1
8,28,65,45,50,500,120,0,1
9,28,65,45,50,500,120,0,1
10,28,65,45,50,500,120,0,1
11,28,65,45,50,500,120,0,1
12,28,65,45,50,500,120,0,1
13,28,65,45,50,500,120,0,1
14,28,65,45,50,500,120,0,1
15,28,65,45,50,500,120,0,1
16,28,65,45,50,500,120,0,1
17,28,65,45,50,500,120,0,1
18,28,65,45,50,500,120,0,1
19,28,65,45,50,500,120,0,1
20,28,65,45,50,500,120,0,1
21,28,65,45,50,500,120,0,1
22,28,65,45,50,500,120,0,1
23,28,65,45,50,500,120,0,1
24,28,65,45,50,500,120,0,1
25,28,65,45,50,500,120,0,1
26,28,65,45,50,500,120,0,1
27,28,65,45,50,500,120,0,1
28,28,65,45,50,500,120,0,1
29,28,65,45,50,500,120,0,1
30,28,65,45,50,500,120,0,1
$
